conductivity,coords,dT_dt,density,object,object_id,temperature,viscosity,zminus_index,zplus_index
40.0,5220.0,-0.00031218974281728147,0.0,1.0,B259,2199.859453493854,0.0,260,262
40.0,5240.0,-0.0003121298607766221,0.0,1.0,B260,2200.448394819622,0.0,261,263
40.0,5260.0,-0.0003120492923699203,0.0,1.0,B261,2201.0342148984982,0.0,262,264
40.0,5280.0,-0.00031194809630505913,0.0,1.0,B262,2201.61691453602,0.0,263,265
40.0,5300.0,-0.0003118263342457794,0.0,1.0,B263,2202.1964947439938,0.0,264,266
40.0,5320.0,-0.0003116840704024071,0.0,1.0,B264,2202.7729567398796,0.0,265,267
40.0,5340.0,-0.00031152137180470165,0.0,1.0,B265,2203.3463019461483,0.0,266,268
40.0,5360.0,-0.0003113383075287857,0.0,1.0,B266,2203.916531989613,0.0,267,269
40.0,5380.0,-0.00031113495037971006,0.0,1.0,B267,2204.4836487007346,0.0,268,270
40.0,5400.0,-0.0003109113743903435,0.0,1.0,B268,2205.0476541128996,0.0,269,271
40.0,5420.0,-0.00031066765745890734,0.0,1.0,B269,2205.608550461673,0.0,270,272
40.0,5440.0,-0.0003104038791661878,0.0,1.0,B270,2206.1663401840256,0.0,271,273
40.0,5460.0,-0.0003101201219578797,0.0,1.0,B271,2206.7210259175336,0.0,272,274
40.0,5480.0,-0.0003098164709626871,0.0,1.0,B272,2207.2726104995563,0.0,273,275
40.0,5500.0,-0.0003094930135375762,0.0,1.0,B273,2207.821096966385,0.0,274,276
40.0,5520.0,-0.00030914983963157286,0.0,1.0,B274,2208.3664885523704,0.0,275,277
40.0,5540.0,-0.0003087870418767125,0.0,1.0,B275,2208.908788689019,0.0,276,278
40.0,5560.0,-0.00030840471481496934,0.0,1.0,B276,2209.4480010040716,0.0,277,279
40.0,5580.0,-0.00030800295608059966,0.0,1.0,B277,2209.9841293205554,0.0,278,280
40.0,5600.0,-0.00030758186512684914,0.0,1.0,B278,2210.517177655809,0.0,279,281
40.0,5620.0,-0.000307141544044498,0.0,1.0,B279,2211.047150220487,0.0,280,282
40.0,5640.0,-0.00030668209728901275,0.0,1.0,B280,2211.574051417538,0.0,281,283
40.0,5660.0,-0.00030620363163507135,0.0,1.0,B281,2212.097885841164,0.0,282,284
40.0,5680.0,-0.0003057062559491897,0.0,1.0,B282,2212.618658275748,0.0,283,285
40.0,5700.0,-0.00030519008150804434,0.0,1.0,B283,2213.1363736947706,0.0,284,286
40.0,5720.0,-0.00030465522186204905,0.0,1.0,B284,2213.6510372596904,0.0,285,287
40.0,5740.0,-0.00030410179278987924,0.0,1.0,B285,2214.162654318815,0.0,286,288
40.0,5760.0,-0.00030352991188919987,0.0,1.0,B286,2214.671230406141,0.0,287,289
